Fold, 3x3, 5x5, 7x7
1, 0.991428554058075, 0.9894285798072815, 0.9901428818702698
2, 0.9879999756813049, 0.9908571243286133, 0.9891428351402283
3, 0.9887142777442932, 0.991428554058075, 0.9884285926818848
4, 0.9890000224113464, 0.9908571243286133, 0.9894285798072815
5, 0.9868571162223816, 0.9919999837875366, 0.9882857203483582
6, 0.9892857074737549, 0.991428554058075, 0.9882857203483582
7, 0.9882857203483582, 0.9902856945991516, 0.9901428818702698
8, 0.9898571372032166, 0.9905714392662048, 0.9912857413291931
9, 0.9904285669326782, 0.991428554058075, 0.9890000224113464
10, 0.9888571500778198, 0.9895714521408081, 0.9908571243286133